icao,iata,name,city,country,latitude,longitude,timezone
MWCB,CYB,Cayman Brac Charles Kirkconnell International Airport,,Cayman Islands,19.686979,-79.882698,
MUCC,CCC,Cayo Coco Jardines del Rey Airport,,Cuba,22.461111,-78.328613,
MUCL,CYO,Cayo Largo del Sur Vilo Acuna Airport,,Cuba,21.616449,-81.545898,
RPVM,CEB,Cebu Mactan International Airport,,Philippines,10.30754,123.979401,
KCDC,CDC,Cedar City Regional Airport,,United States,37.700958,-113.098,
KCDK,CDK,Cedar Key George T. Lewis Airport,,United States,29.134064,-83.050781,
KCID,CID,Cedar Rapids Eastern Iowa Airport,,United States,41.884682,-91.710701,
YCDU,CED,Ceduna Airport,,Australia,-32.130554,133.709717,
TJRV,NRR,Ceiba Jose Aponte de la Torre Airport,,Puerto Rico,18.250284,-65.63575,
MMCY,CYW,Celaya Captain Rogelio Castillo National Airport,,Mexico,20.545879,-100.885216,
ETHC,QCC,Celle Air Base,,Germany,52.59111,10.022222,
PACE,CEM,Central Airport,,United States,65.573944,-144.781158,
LKCS,JCL,Ceske Budejovice Airport,,Czechia,48.946388,14.428056,
YCNK,CES,Cessnock Airport,,Australia,-32.787498,151.341995,
GECE,JCU,Ceuta Heliport,,Spain,35.892799,-5.30639,
OIZC,ZBR,Chabahar Konarak Airport,,Iran,25.44335,60.382111,
SPPY,CHH,Chachapoyas Airport,,Peru,-6.2018,-77.856003,
KCDR,CDR,Chadron Municipal Airport,,United States,42.834999,-103.097778,
OACC,CCN,Chaghcharan Airport,,Afghanistan,34.526661,65.27166,
SCTN,WCH,Chaiten Airport,,Chile,-42.781891,-72.835098,
PACI,CIK,Chalkyitsik Airport,,United States,66.644997,-143.740005,
LFLH,QFC,Chalon Champforgeuil Airport,,France,46.826141,4.817629,
LFLB,CMF,Chambery Airport,,France,45.639069,5.880086,
KCMI,CMI,Champaign University of Illinois Willard Airport,,United States,40.039665,-88.269051,
VICG,IXC,Chandigarh Airport,,India,30.67346,76.788544,
KCHD,QSD,Chandler Municipal Airport,,United States,33.268829,-111.811607,
ZYCC,CGQ,Changchun Longjia International Airport,,China,43.996208,125.685303,
ZGCD,CGD,Changde Taohuayuan Airport,,China,28.91888,111.640198,
ZGHA,CSX,Changsha Huanghua International Airport,,China,28.191599,113.223534,
MPCH,CHX,Changuinola International Airport,,Panama,9.458636,-82.5168,
ZBCZ,CIH,Changzhi Wangcun Airport,,China,36.247501,113.125801,
ZSCG,CZX,Changzhou Benniu Airport,,China,31.91972,119.778603,
LGSA,CHQ,Chania International Airport,,Greece,35.531738,24.14967,
ZYCY,CHG,Chaoyang Airport,,China,41.538101,120.434998,
SBCH,XAP,Chapeco Airport,,Brazil,-27.134199,-52.656502,
UIAR,CZR,Chara Airport,,Russia,56.914997,118.271255,
KCCY,CCY,Charles City Northeast Iowa Regional Airport,,United States,43.073257,-92.610222,
KJZI,JZI,Charleston Executive Airport,,United States,32.700001,-80.0,
KCHS,CHS,Charleston International Airport,,United States,32.898628,-80.040497,
KCRW,CRW,Charleston West Virginia International Yeager Airport,,United States,38.373508,-81.596146,
YBCV,CTL,Charleville Airport,,Australia,-26.4133,146.262497,
KCVX,QTX,Charlevoix Municipal Airport,,United States,45.304722,-85.275276,
CYCL,YCL,Charlo Airport,,Canada,47.990829,-66.3302,
KCLT,CLT,Charlotte Douglas International Airport,,United States,35.214001,-80.9431,
KCHO,CHO,Charlottesville Albemarle Airport,,United States,38.138638,-78.452858,
CYYG,YYG,Charlottetown Airport,,Canada,46.290001,-63.121101,
CCH4,YHG,Charlottetown Airport,,Canada,52.765457,-56.118263,
YCHT,CXT,Charters Towers Airport,,Australia,-20.044632,146.272202,
LFOR,QRR,Chartres Airport,,France,48.456924,1.520051,
LFLX,CHR,Chateauroux Centre Marcel Dassault Airport,,France,46.860271,1.721111,
NZCI,CHT,Chatham Island Tuuta Airport,,New Zealand,-43.812897,-176.469711,
CYCK,XCM,Chatham-Kent Airport Airport,,Canada,42.306335,-82.081604,
KCHA,CHA,Chattanooga Metropolitan Airport,,United States,35.035191,-85.203499,
LPCH,CHV,Chaves Airport,,Portugal,41.722324,-7.46315,
LKCB,QZC,Cheb Airport,,Czechia,50.066162,12.4114,
UWKS,CSY,Cheboksary Airport,,Russia,56.09,47.34,
PACK,CYF,Chefornak Airport,,United States,60.216667,-164.199997,
KCLS,CLS,Chehalis Centralia Airport,,United States,46.676998,-122.983002,
EPCD,QPC,Chelm Depultycze Krolewskie Airport,,Poland,51.082264,23.438322,
USCC,CEK,Chelyabinsk Airport,,Russia,55.305828,61.50333,
PFCB,NCN,Chenega Bay Airport,,United States,60.078671,-147.994705,
ZBCD,CDE,Chengde Puning Airport,,China,41.122501,118.073891,
ZUUU,CTU,Chengdu Shuangliu International Airport,,China,30.57852,103.946999,
ZUTF,TFU,Chengdu Tianfu International Airport,,China,30.319,104.445,
VOMM,MAA,Chennai International Airport,,India,12.99441,80.180511,
ZGCZ,HCZ,Chenzhou Beihu Airport,,China,25.753263,112.845192,
RKTU,CJJ,Cheongju International Airport,,South Korea,36.716599,127.4991,
LFRC,CER,Cherbourg Maupertus Airport,,France,49.650829,-1.47527,
ULWC,CEE,Cherepovets Airport,,Russia,59.276669,38.028332,
UKLN,CWC,Chernivtsi International Airport,,Ukraine,48.259319,25.980829,
YCHB,CRH,Cherrabah Airport,,Australia,-28.430042,152.088669,
UESS,CYX,Cherskiy Airport,,Russia,68.741501,161.338089,
KCPK,QQP,Chesapeake Regional Airport,,United States,36.665558,-76.320557,
EGNR,CEG,Chester Hawarden Airport,,United Kingdom,53.178051,-2.97777,
CYCS,YCS,Chesterfield Inlet Airport,,Canada,63.345829,-90.727501,
