icao,iata,name,city,country,latitude,longitude,timezone
VAKP,KLH,Kolhapur Airport,,India,16.66465,74.289352,
PAJZ,KGK,Koliganek Airport,,United States,59.726738,-157.267105,
VECC,CCU,Kolkata Subhas Chandra Bose International Airport,,India,22.65473,88.446716,
EPKG,QPA,Kolobrzeg Bagicz Airport,,Poland,54.200329,15.684893,
FZQM,KWZ,Kolwezi Airport,,Democratic Republic Of The Congo,-10.76639,25.508223,
AYOQ,KCJ,Komaio Airport,,Papua New Guinea,-7.2714,143.5952,
RJNK,KMQ,Komatsu Airport,,Japan,36.394611,136.406494,
AYXM,KOM,Komo International Airport,,Papua New Guinea,-6.062695,142.876663,
UHKK,KXK,Komsomolsk-on-Amur Airport,,Russia,50.400002,136.929993,
PHKO,KOA,Kona International Airport,,United States,19.73876,-156.044998,
NWWD,KNQ,Kone Airport,,New Caledonia,-21.053301,164.837708,
PADY,KKH,Kongiganak Airport,,United States,59.966667,-162.75,
FZRQ,KOO,Kongolo Airport,,Democratic Republic Of The Congo,-5.393714,26.989355,
LTAN,KYA,Konya Airport,,Turkey,37.979,32.561859,
YKDD,OOD,Koodaideri Mine Airport,,Australia,-22.503927,119.076187,
VRMO,GKK,Kooddoo Airport,,Maldives,0.73,73.43,
YKLC,KCI,Koolan Island Airport,,Australia,-16.124954,123.734253,
DIKO,HGO,Korhogo Airport,,Ivory Coast,9.387183,-5.55666,
ZWKL,KRL,Korla Airport,,China,41.689999,86.120003,
EBKT,KJK,Kortrijk Wevelgem International Airport,,Belgium,50.8172,3.20472,
LGKO,KGS,Kos Island International Airport,,Greece,36.793331,27.09166,
KOSX,OSX,Kosciusko Attala County Airport,,United States,33.090057,-89.541763,
LZKZ,KSC,Kosice International Airport,,Slovakia,48.663052,21.24111,
PTSA,KSA,Kosrae International Airport,,Micronesia,5.356975,162.958298,
UAUU,KSN,Kostanay Airport,,Kazakhstan,53.20694,63.55027,
UUBA,KMW,Kostroma Airport,,Russia,57.796902,41.019402,
WMKC,KBR,Kota Bharu Sultan Ismail Petra Airport,,Malaysia,6.16685,102.292999,
WBKK,BKI,Kota Kinabalu International Airport,,Malaysia,5.937208,116.051102,
WAOK,KBU,Kotabaru Gusti Syamsir Alam Airport,,Indonesia,-3.293738,116.165283,
ULKK,KSZ,Kotlas Airport,,Russia,61.235802,46.697498,
PFKO,KOT,Kotlik Airport,,United States,63.030602,-163.533005,
PAOT,OTZ,Kotzebue Ralph Wien Memorial Airport,,United States,66.884689,-162.598007,
NWWK,KOC,Koumac Airport,,New Caledonia,-20.546301,164.255493,
YKOW,KWM,Kowanyama Airport,,Australia,-15.4875,141.748337,
PAKK,KKA,Koyuk Alfred Adams Airport,,United States,64.939445,-161.149994,
PFKU,KYU,Koyukuk Airport,,United States,64.876099,-157.727005,
LGKZ,KZI,Kozani National Airport,,Greece,40.28611,21.84083,
VOCL,CCJ,Kozhikode Calicut International Airport,,India,11.13785,75.950905,
VTSG,KBV,Krabi Airport,,Thailand,8.095969,98.988762,
EPKK,KRK,Krakow John Paul II International Airport,,Poland,50.077728,19.78483,
LYKV,KVO,Kraljevo Morava Airport,,Serbia,43.818611,20.585278,
ESNK,KRF,Kramfors Hoga Kusten Airport,,Sweden,63.048592,17.76885,
URKK,KRR,Krasnodar International Airport,,Russia,45.034679,39.170528,
USDP,KKQ,Krasnoselkup Airport,,Russia,65.718483,82.455429,
UNKM,KCY,Krasnoyarsk Cheremshanka Airport,,Russia,56.177532,92.545799,
UNKL,KJA,Krasnoyarsk International Airport,,Russia,56.173248,92.491768,
LOAG,QOG,Krems Langenlois Airport,,Austria,48.446152,15.634961,
FKKB,KBI,Kribi Airport,,Cameroon,2.873889,9.977778,
ENCN,KRS,Kristiansand Kjevik Airport,,Norway,58.204208,8.085369,
ESMK,KID,Kristianstad Osterlen Airport,,Sweden,55.92168,14.08553,
ENKB,KSU,Kristiansund Kvernberget Airport,,Norway,63.111778,7.824522,
VDDS,DSY,Krong Khemara Phoumin Dara Sakor International Airport,,Cambodia,10.916113,103.227753,
EPKR,QPR,Krosno Airport,,Poland,49.679176,21.744968,
UKDR,KWG,Kryvyi Rih International Airport,,Ukraine,48.043301,33.209999,
WMKK,KUL,Kuala Lumpur International Airport,,Malaysia,2.745578,101.7099,
WMSA,SZB,Kuala Lumpur Subang Airport,,Malaysia,3.130583,101.549301,
WMKN,TGG,Kuala Terengganu Sultan Mahmud Airport,,Malaysia,5.382639,103.103302,
WMKD,KUA,Kuantan Sultan Haji Ahmad Shah Airport,,Malaysia,3.775389,103.209,
YKUB,KUG,Kubin Airport,,Australia,-10.225,142.218002,
WBGG,KCH,Kuching International Airport,,Malaysia,1.484697,110.346901,
WBKT,KUD,Kudat Airport,,Malaysia,6.923954,116.837067,
HLKF,AKF,Kufrah Airport,,Libya,24.17919,23.31292,
CYBB,YBB,Kugaaruk Airport,,Canada,68.534439,-89.807999,
CYCO,YCO,Kugluktuk Airport,,Canada,67.816658,-115.142998,
FNKU,SVP,Kuito Airport,,Angola,-12.4046,16.947411,
LAKU,KFZ,Kukes International Airport,,Albania,42.032833,20.414944,
VRBK,HDK,Kulhudhuffushi Airport,,Maldives,6.630957,73.067505,
VIBR,KUU,Kullu Bhuntar Airport,,India,31.876699,77.154358,
UTDK,TJU,Kulob Airport,,Tajikistan,37.988335,69.805,
BGKK,KUS,Kulusuk Airport,,Greenland,65.573608,-37.1236,
RJFT,KMJ,Kumamoto Airport,,Japan,32.837311,130.854996,
DGSI,KMS,Kumasi Airport,,Ghana,6.714564,-1.59081,
ROKJ,UEO,Kumejima Airport,,Japan,26.363501,126.713799,
ZPPP,KMG,Kunming Changshui International Airport,,China,25.101944,102.929169,
LKKU,UHE,Kunovice Airport,,Czechia,49.0294,17.439699,
YPKU,KNX,Kununurra East Kimberley Regional Airport,,Australia,-15.778,128.707504,
EFKU,KUO,Kuopio Airport,,Finland,63.007149,27.79775,
WATT,KOE,Kupang El Tari Airport,,Indonesia,-10.1715,123.671097,
PAKU,UUK,Kuparuk Ugnu Airport,,United States,70.330803,-149.598007,
ZWKC,KCA,Kuqa Qiuci Airport,,China,41.718056,82.986946,
EEKE,URE,Kuressaare Airport,,Estonia,58.229881,22.509489,
USUU,KRO,Kurgan Airport,,Russia,55.475269,65.41555,
AYKU,KUQ,Kuri Airport,,Papua New Guinea,-7.134998,143.276108,
NGKT,KUC,Kuria Airport,,Kiribati,0.218954,173.442093,
VOKU,KJB,Kurnool Airport,,India,15.706111,78.160835,
UUOK,URS,Kursk Airport,,Russia,51.75,36.266666,
VEKI,KBK,Kushinagar International Airport,,India,26.77,83.908058,
RJCK,KUH,Kushiro Airport,,Japan,43.040958,144.192902,
LTBZ,KZR,Kutahya Zafer Airport,,Turkey,39.111389,30.129999,
UGKO,KUT,Kutaisi International Airport,,Georgia,42.169998,42.48,
CYVP,YVP,Kuujjuaq Airport,,Canada,58.096111,-68.426903,
CYGW,YGW,Kuujjuarapik Airport,,Canada,55.28138,-77.758003,
EFKS,KAO,Kuusamo Airport,,Finland,65.987572,29.23938,
FZMA,BKY,Kuvumu Airport,,Democratic Republic Of The Congo,-2.30897,28.8088,
OKKK,KWI,Kuwait International Airport,,Kuwait,29.226561,47.968922,
PKWA,KWA,Kwajalein Island Airport,,Marshall Islands,8.720122,167.731598,
PFKW,KWT,Kwethluk Airport,,United States,60.790298,-161.444,
PAGG,KWK,Kwigillingok Airport,,United States,59.876389,-163.16861,
VYKP,KYP,Kyaukpyu Airport,,Myanmar (Burma),19.426439,93.534828,
UKBB,KBP,Kyiv Boryspil International Airport,,Ukraine,50.345001,30.89472,
UKKM,GML,Kyiv Hostomel Airport,,Ukraine,50.603611,30.191944,
UKKK,IEV,Kyiv Zhuliany Airport,,Ukraine,50.401691,30.44969,
UNKY,KYZ,Kyzyl Airport,,Russia,51.669441,94.400551,
UAOO,KZO,Kyzylorda Airport,,Kazakhstan,44.70694,65.592499,
LIAP,QAQ,L'Aquila Airport,,Italy,42.380039,13.309296,
LFRE,LBY,La Baule-Escoublac Airport,,France,47.288422,-2.347248,
MHLC,LCE,La Ceiba Goloson International Airport,,Honduras,15.74248,-86.852997,
LSGC,QYC,La Chaux-de-Fonds Les Eplatures Airport,,Switzerland,47.083889,6.792778,
KLSE,LSE,La Crosse Regional Airport,,United States,43.879261,-91.256599,
MRAN,FON,La Fortuna Arenal Airport,,Costa Rica,10.469486,-84.578751,
SVLF,LFR,La Fria Airport,,Venezuela,8.239167,-72.271004,
GCGM,GMZ,La Gomera Airport,,Spain,28.029608,-17.21468,
CYGL,YGL,La Grande Riviere Airport,,Canada,53.625271,-77.704102,
KLGD,LGD,La Grande Union County Airport,,United States,45.289722,-118.004997,
CYAH,YAH,La Grande-4 Airport,,Canada,53.7547,-73.675301,
GCLA,SPC,La Palma Airport,,Spain,28.626471,-17.7556,
SLLP,LPB,La Paz El Alto International Airport,,Bolivia,-16.5133,-68.1922,
MMLP,LAP,La Paz International Airport,,Mexico,24.072689,-110.362,
SKLP,LPD,La Pedrera Airport,,Colombia,-1.325324,-69.581161,
LEIZ,QYI,La Perdiz Airport,,Spain,38.513363,-3.367825,
SADL,LPG,La Plata Airport,,Argentina,-34.971283,-57.893612,
KPPO,LPO,La Porte Municipal Airport,,United States,41.572914,-86.734055,
SANL,IRJ,La Rioja Airport,,Argentina,-29.381599,-66.795799,
LFRI,EDM,La Roche-sur-Yon Les Ajoncs Airport,,France,46.702381,-1.38175,
LFBH,LRH,La Rochelle Ile de Re Airport,,France,46.17918,-1.19523,
CTT5,ZGS,La Romaine Airport,,Canada,50.259701,-60.679401,
MDLR,LRM,La Romana International Airport,,Dominican Republic,18.45071,-68.911797,
CYVC,YVC,La Ronge Barber Field Airport,,Canada,55.15139,-105.261002,
SCSE,LSC,La Serena La Florida Airport,,Chile,-29.916201,-71.199501,
CTU5,ZLT,La Tabatiere Airport,,Canada,50.830799,-58.975601,
KPOC,POC,La Verne Brackett Field Airport,,United States,34.091648,-117.781776,
AYLB,LAB,Lab Lab Airport,,Papua New Guinea,-5.721147,148.05751,
NFNL,LBS,Labasa Airport,,Fiji,-16.4667,179.339798,
YLBA,QBL,Labona Airport,,Australia,-22.003866,146.363876,
SWLB,LBR,Labrea Airport,,Brazil,-7.27897,-64.769501,
WBKL,LBU,Labuan Airport,,Malaysia,5.300683,115.250099,
WATO,LBJ,Labuan Bajo Komodo Airport,,Indonesia,-8.48665,119.889,
WAPH,LAH,Labuha Oesman Sadik Airport,,Indonesia,-0.635259,127.501999,
CZWH,XLB,Lac Brochet Airport,,Canada,58.610001,-101.459999,
CYLB,YLB,Lac La Biche Airport,,Canada,54.770302,-112.031998,
KLCI,LCI,Laconia Municipal Airport,,United States,43.571388,-71.421112,
YLTT,LYT,Lady Elliot Island Airport,,Australia,-24.116667,152.71666,
FALY,LAY,Ladysmith Airport,,South Africa,-28.581411,29.749784,
AYNZ,LAE,Lae Nadzab Airport,,Papua New Guinea,-6.56982,146.726196,
EKLS,BYR,Laeso Airport,,Denmark,57.276943,10.999722,
KLAF,LAF,Lafayette Purdue University Airport,,United States,40.411945,-86.933609,
KLFT,LFT,Lafayette Regional Airport,,United States,30.20525,-91.987602,
SBLJ,LAJ,Lages Airport,,Brazil,-27.782101,-50.281502,
DAUL,LOO,Laghouat Airport,,Algeria,33.764381,2.928344,
DNMM,LOS,Lagos Murtala Mohammed Airport,,Nigeria,6.577369,3.321156,
KLGC,LGC,LaGrange Callaway Airport,,United States,33.0075,-85.070831,
WBKD,LDU,Lahad Datu Airport,,Malaysia,5.032247,118.323997,
PHJH,JHM,Lahaina Kapalua Airport,,United States,20.962931,-156.673004,
OPLA,LHE,Lahore Allama Iqbal International Airport,,Pakistan,31.521561,74.403587,
EDTL,LHA,Lahr Black Forest Airport,,Germany,48.369301,7.82772,
YHOO,HOK,Lajamanu Hooker Creek Airport,,Australia,-18.328308,130.645126,
KCWF,CWF,Lake Charles Chennault International Airport,,United States,30.220827,-93.153191,
KLCH,LCH,Lake Charles Regional Airport,,United States,30.12608,-93.223396,
KLCQ,LCQ,Lake City Gateway Airport,,United States,30.181883,-82.575287,
KHII,HII,Lake Havasu City Airport,,United States,34.569695,-114.359726,
KLBX,LJN,Lake Jackson Texas Gulf Coast Regional Airport,,United States,29.11092,-95.459457,
HTLM,LKY,Lake Manyara Airport,,Tanzania,-3.375889,35.82021,
KAIZ,AIZ,Lake Ozark Lee C Fine Memorial Airport,,United States,38.098331,-92.547218,
KLAL,LAL,Lakeland Linder International Airport,,United States,27.98917,-82.014038,
ENNA,LKL,Lakselv Banak Airport,,Norway,70.06881,24.97348,
HALL,LLI,Lalibela Airport,,Ethiopia,11.97501,38.979961,
SKNA,LMC,Lamacarena Airport,,Colombia,2.179109,-73.787636,
KLAA,LAA,Lamar Municipal Airport,,United States,38.060001,-102.68,
OISR,LFM,Lamerd Airport,,Iran,27.374121,53.190926,
LICA,SUF,Lamezia Terme Airport,,Italy,38.905392,16.24226,
VTCL,LPT,Lampang Airport,,Thailand,18.270929,99.504158,
LICD,LMP,Lampedusa Airport,,Italy,35.49791,12.61808,
HKLU,LAU,Lamu Manda Airport,,Kenya,-2.25241,40.91309,
PHNY,LNY,Lanai Airport,,United States,20.78561,-156.951004,
ZPJM,JMJ,Lancang Jingmai Airport,,China,22.415833,99.786392,
KLNS,LNS,Lancaster Airport,,United States,40.12236,-76.294296,
KWJF,WJF,Lancaster General William J Fox Airport,,United States,34.740314,-118.218185,
KLND,LND,Lander Hunt Field Airport,,United States,42.833332,-108.73333,
LFRJ,LDV,Landivisiau Air Base,,France,48.530441,-4.150868,
EGHC,LEQ,Lands End Airport,,United Kingdom,50.102791,-5.670205,
EDML,QRX,Landshut Airport,,Germany,48.511623,12.03342,
FALW,SDB,Langebaanweg Airport,,South Africa,-32.968216,18.16017,
EDWL,LGO,Langeoog Airport,,Germany,53.7425,7.497778,
WAPF,LUV,Langgur Karel Sadsuitubun Airport,,Indonesia,-5.760405,132.759552,
WMKL,LGK,Langkawi International Airport,,Malaysia,6.329728,99.728661,
CYNJ,YLY,Langley Regional Airport,,Canada,49.1008,-122.630997,
ZULA,LZG,Langzhong Gucheng Airport,,China,31.503513,106.035324,
UBBL,LLK,Lankaran International Airport,,Azerbaijan,38.742031,48.824093,
LFRO,LAI,Lannion Airport,,France,48.75489,-3.47448,
CYLH,YLH,Lansdowne House Airport,,Canada,52.183334,-87.93,
KLAN,LAN,Lansing Capital Region International Airport,,United States,42.778091,-84.586815,
GCRR,ACE,Lanzarote Airport,,Spain,28.945459,-13.6052,
ZLLL,LHW,Lanzhou Zhongchuan International Airport,,China,36.51524,103.620697,
RPLI,LAO,Laoag City International Airport,,Philippines,18.178057,120.53167,
LFHX,QYX,Lapalisse Perigny Airport,,France,46.253483,3.588642,
EFLP,LPP,Lappeenranta Airport,,Finland,61.044552,28.14439,
OISL,LRR,Lar Airport,,Iran,27.669689,54.382759,
KLAR,LAR,Laramie Regional Airport,,United States,41.31361,-105.673058,
WATL,LKA,Larantuka Gewayantana Airport,,Indonesia,-8.274544,123.002327,
KLRD,LRD,Laredo International Airport,,United States,27.543791,-99.461502,
LCLK,LCA,Larnaca International Airport,,Cyprus,34.875111,33.624851,
EDAX,REB,Larz Muritz Airport,,Germany,53.306389,12.752222,
KLRU,LRU,Las Cruces International Airport,,United States,32.290833,-106.921669,
SVJC,LSP,Las Piedras Josefa Camejo International Airport,,Venezuela,11.78077,-70.151398,
KLAS,LAS,Las Vegas Harry Reid International Airport,,United States,36.080051,-115.152,
KHND,HSH,Las Vegas Henderson Executive Airport,,United States,35.974396,-115.135384,
KLVS,LVS,Las Vegas Municipal Airport,,United States,35.654167,-105.142502,
KLSV,LSV,Las Vegas Nellis Air Force Base,,United States,36.235325,-115.032883,
EGHL,QKL,Lasham Airport,,United Kingdom,51.187199,-1.0335,
VYLS,LSH,Lashio Airport,,Myanmar (Burma),22.97788,97.752182,
SELT,LTX,Latacunga Cotopaxi International Airport,,Ecuador,-0.906437,-78.615707,
OSLK,LTK,Latakia Bassel al Assad International Airport,,Syria,35.401089,35.948681,
LIRL,QII,Latina Airport,,Italy,41.542431,12.909053,
KLBE,LBE,Latrobe Arnold Palmer Regional Airport,,United States,40.274601,-79.4067,
VOLT,LTU,Latur Airport,,India,18.411871,76.464424,
YMLT,LST,Launceston Airport,,Australia,-41.5452,147.214096,
YLRA,LUU,Laura Airport,,Australia,-15.559922,144.451111,
KLUL,LUL,Laurel Hesler-Noble Field Airport,,United States,31.666668,-89.166664,
LSGL,QYL,Lausanne Airport,,Switzerland,46.545277,6.616667,
LFOV,LVA,Laval Entrammes Airport,,France,48.032249,-0.74278,
OIBV,LVP,Lavan Island Airport,,Iran,26.810301,53.3563,
YLTN,LVO,Laverton Airport,,Australia,-28.6136,122.423798,
SSOL,VRZ,Lavras Airport,,Brazil,-21.24048,-44.963943,
WBGW,LWY,Lawas Airport,,Malaysia,4.849359,115.407928,
KLWC,LWC,Lawrence Municipal Airport,,United States,39.009167,-95.217499,
KLWM,LWM,Lawrence Municipal Airport,,United States,42.717499,-71.122498,
KLZU,LZU,Lawrenceville Gwinnett County Airport,,United States,33.978577,-83.961205,
KLWV,LWV,Lawrenceville Vincennes International Airport,,United States,38.765381,-87.604004,
KLAW,LAW,Lawton Fort Sill Regional Airport,,United States,34.560001,-98.410004,
MMLC,LZC,Lazaro Cardenas Airport,,Mexico,18.00173,-102.220001,
LFMQ,CTT,Le Castellet Airport,,France,43.25222,5.786111,
LFOH,LEH,Le Havre Octeville Airport,,France,49.533878,0.088056,
LFMC,QRU,Le Luc Le Cannet Airport,,France,43.384663,6.38694,
LFRM,LME,Le Mans Arnage Airport,,France,47.94849,0.201647,
LFHP,LPY,Le Puy Loudes Airport,,France,45.083332,3.766667,
LFAT,LTQ,Le Touquet Cote d'Opale Airport,,France,50.514839,1.627578,
KLXV,LXV,Leadville Airport,,United States,39.22028,-106.316109,
YPLM,LEA,Learmonth Airport,,Australia,-22.2355,114.0886,
KLEB,LEB,Lebanon Municipal Airport,,United States,43.62611,-72.3041,
LIBN,LCC,Lecce Galatina Airport,,Italy,40.238712,18.133364,
KLXT,QQL,Lee's Summit Municipal Airport,,United States,38.959721,-94.371391,
EGNM,LBA,Leeds Bradford Airport,,United Kingdom,53.865891,-1.66056,
EGCM,QKM,Leeds East Airport,,United Kingdom,53.834442,-1.195556,
EDWF,QEJ,Leer Papenburg Airport,,Germany,53.271873,7.443994,
KJYO,QSO,Leesburg Executive Airport,,United States,39.077789,-77.557396,
KLEE,LEE,Leesburg International Airport,,United States,28.822128,-81.807053,
RPLK,DRP,Legazpi Bicol International Airport,,Philippines,13.112326,123.677307,
VILH,IXL,Leh Kushok Bakula Rimpochee Airport,,India,34.135872,77.546509,
YLEC,LGH,Leigh Creek Airport,,Australia,-30.596289,138.425369,
YLST,LER,Leinster Airport,,Australia,-27.84,120.699997,
EDDP,LEJ,Leipzig Halle Airport,,Germany,51.432442,12.24163,
ENLK,LKN,Leknes Airport,,Norway,68.152496,13.60944,
EHLE,LEY,Lelystad Airport,,Netherlands,52.4603,5.52722,
KLRJ,LRJ,Lemars Municipal Airport,,United States,42.778362,-96.193619,
LGLM,LXS,Lemnos International Airport,,Greece,39.917068,25.2363,
SBLE,LEC,Lencois Airport,,Brazil,-12.4823,-41.277,
UERL,ULK,Lensk Airport,,Russia,60.720554,114.825836,
LELN,LEN,Leon Airport,,Spain,42.58889,-5.655556,
YLEO,LNO,Leonora Airport,,Australia,-28.880148,121.313736,
LGLE,LRS,Leros Municipal Airport,,Greece,37.184898,26.80028,
EGET,LWK,Lerwick Tingwall Airport,,United Kingdom,60.190247,-1.244494,
MTCA,CYA,Les Cayes Airport,,Haiti,18.271099,-73.7883,
LFOO,LSO,Les Sables-d'Olonne Talmont Airport,,France,46.475788,-1.724561,
LJBL,QRB,Lesce Bled Airport,,Slovenia,46.356224,14.174552,
EPLS,QPF,Leszno Airport,,Poland,51.834595,16.526592,
CYQL,YQL,Lethbridge Airport,,Canada,49.630268,-112.799004,
SYLT,LTM,Lethem Airport,,Guyana,3.372761,-59.789333,
SKLT,LET,Leticia International Airport,,Colombia,-4.19314,-69.942596,
WIDL,LMU,Letung Airport,,Indonesia,2.964299,105.754311,
EDNL,QCL,Leutkirch Unterzeil Airport,,Germany,47.858948,10.01436,
KLWB,LWB,Lewisburg Greenbrier Valley Airport,,United States,37.859722,-80.398613,
KLWS,LWS,Lewiston Nez Perce County Airport,,United States,46.3745,-117.014999,
KLWT,LWT,Lewistown Municipal Airport,,United States,47.051109,-109.471107,
WATW,LWE,Lewoleba Wunopito Airport,,Indonesia,-8.36278,123.437782,
KLEX,LEX,Lexington Blue Grass Airport,,United States,38.036499,-84.605797,
KEXX,QNE,Lexington Davidson County Airport,,United States,35.78133,-80.303383,
KLXN,LXN,Lexington Municipal Airport,,United States,40.790741,-99.777039,
ZULS,LXA,Lhasa Gonggar Airport,,China,29.29777,90.911942,
WITM,LSW,Lhokseumawe Malikus Saleh Airport,,Indonesia,5.22668,96.950302,
ZSLG,LYG,Lianyungang Huaguoshan International Airport,,China,34.412914,119.178467,
KLBL,LBL,Liberal Mid-America Regional Airport,,United States,37.044167,-100.959999,
MRLB,LIR,Liberia Guanacaste International Airport,,Costa Rica,10.59301,-85.545502,
ZULB,LLB,Libo Airport,,China,25.452499,107.96167,
FOOL,LBV,Libreville International Airport,,Gabon,0.4586,9.412283,
FQLC,VXC,Lichinga Airport,,Mozambique,-13.2739,35.266258,
ESGL,LDK,Lidkoping Hovby Airport,,Sweden,58.4655,13.1744,
EBLG,LGG,Liege Airport,,Belgium,50.636379,5.442778,
EVLA,LPX,Liepaja Airport,,Latvia,56.517502,21.096939,
NWWL,LIF,Lifou Ouanaham Airport,,New Caledonia,-20.775,167.2397,
YLRD,LHG,Lightning Ridge Airport,,Australia,-29.452757,147.976929,
AYKY,LNV,Lihir Island Kunaye Airport,,Papua New Guinea,-3.04,152.619995,
PHLI,LIH,Lihue Airport,,United States,21.975981,-159.337997,
ZPLJ,LJG,Lijiang Sanyi Airport,,China,26.683332,100.25,
VELR,IXI,Lilabari Airport,,India,27.296024,94.097733,
LFQQ,LIL,Lille Airport,,France,50.563332,3.086944,
FWKI,LLW,Lilongwe Kamuzu International Airport,,Malawi,-13.78955,33.781342,
KAOH,AOH,Lima Allen County Airport,,United States,40.706902,-84.026703,
SPJC,LIM,Lima Jorge Chavez International Airport,,Peru,-12.0218,-77.114304,
WBGJ,LMN,Limbang Airport,,Malaysia,4.808303,115.010399,
LFBL,LIG,Limoges Bellegarde Airport,,France,45.860828,1.180278,
MRLM,LIO,Limon International Airport,,Costa Rica,9.958056,-83.021896,
KLIC,LIC,Limon Municipal Airport,,United States,39.269482,-103.664658,
ZPLC,LNJ,Lincang Airport,,China,23.738333,100.025002,
KLNK,LNK,Lincoln Airport,,United States,40.850971,-96.759201,
YLIN,LDC,Lindeman Island Airport,,Australia,-20.453775,149.039337,
KLDJ,LDJ,Linden Airport,,United States,40.616669,-74.25,
ZBLF,LFQ,Linfen Qiaoli Airport,,China,36.131668,111.658058,
SNLN,LHN,Linhares Municipal Airport,,Brazil,-19.355291,-40.071281,
ESSL,LPI,Linkoping City Airport,,Sweden,58.406151,15.6805,
ESCF,QEI,Linkoping Malmen Airport,,Sweden,58.401375,15.525439,
SBLN,LIP,Lins Airport,,Brazil,-21.662804,-49.730927,
ZSLY,LYI,Linyi Shubuling Airport,,China,35.046112,118.411667,
LOWL,LNZ,Linz Airport,,Austria,48.233212,14.18751,
UUOL,LPK,Lipetsk Airport,,Russia,52.702801,39.5378,
ZUNP,HZH,Liping Airport,,China,26.320213,109.153809,
LPPT,LIS,Lisbon Humberto Delgado Airport,,Portugal,38.781311,-9.13591,
YLIS,LSY,Lismore Airport,,Australia,-28.8302,153.259995,
MWCL,LYB,Little Cayman Airport,,Cayman Islands,19.660271,-80.090202,
KLIT,LIT,Little Rock Clinton National Airport,,United States,34.729439,-92.224297,
ZUPS,LPF,Liupanshui Yuezhao Airport,,China,26.609417,104.978996,
ZGZH,LZH,Liuzhou Bailian Airport,,China,24.2075,109.391098,
KLVK,LVK,Livermore Municipal Airport,,United States,37.69389,-121.817223,
EGGP,LPL,Liverpool John Lennon Airport,,United Kingdom,53.333611,-2.84972,
KLVM,LVM,Livingston Mission Field Airport,,United States,45.69788,-110.445969,
FLHN,LVI,Livingstone Harry Mwanga Nkumbula International Airport,,Zambia,-17.821699,25.822689,
YLZI,LZR,Lizard Island Airport,,Australia,-14.672616,145.453857,
LJLJ,LJU,Ljubljana Joze Pucnik Airport,,Slovenia,46.223679,14.45761,
ESMG,QYJ,Ljungby Feringe Airport,,Sweden,56.950447,13.921652,
ESTL,QEL,Ljungbyhed Airport,,Sweden,56.082779,13.2125,
EGFD,QGF,Llanbedr Airport,,United Kingdom,52.810944,-4.123864,
LEDA,ILD,Lleida Alguaire Airport,,Spain,41.726925,0.539164,
CYLL,YLL,Lloydminster Airport,,Canada,53.309158,-110.071999,
LSZL,QYZ,Locarno Airport,,Switzerland,46.165298,8.8778,
YLHR,IRG,Lockhart River Airport,,Australia,-12.788889,143.3125,
HKLO,LOK,Lodwar Airport,,Kenya,3.121967,35.608688,
EPLL,LCJ,Lodz Wladyslaw Reymont Airport,,Poland,51.721882,19.39813,
VTUL,LOE,Loei Airport,,Thailand,17.439131,101.722,
KLGU,LGU,Logan Cache Airport,,United States,41.787498,-111.855003,
LERJ,RJL,Logrono Agoncillo Airport,,Spain,42.460953,-2.322235,
VYLK,LIW,Loikaw Airport,,Myanmar (Burma),19.6915,97.214798,
SECA,LOH,Loja Ciudad de Catamayo Airport,,Ecuador,-3.99589,-79.371902,
WAMI,LKM,Lolak Bolaang Mongondow Airport,,Indonesia,0.888682,124.033394,
EKMB,MRW,Lolland Falster Airport,,Denmark,54.699299,11.4401,
YLBD,QBD,Lombadina Airport,,Australia,-16.515251,122.923492,
WADL,LOP,Lombok International Airport,,Indonesia,-8.757322,116.276672,
DXXX,LFW,Lome Tokoin Airport,,Togo,6.165611,1.254511,
AGLM,LLM,Lomlom Airport,,Solomon Islands,-10.296848,166.327408,
KLPC,LPC,Lompoc City Airport,,United States,34.665596,-120.467377,
KVBG,VBG,Lompoc Vandenberg Space Force Base,,United States,34.731651,-120.577843,
FALD,LDZ,Londolozi Airport,,South Africa,-24.807199,31.503918,
EGKB,BQH,London Biggin Hill Airport,,United Kingdom,51.33083,0.0325,
EGLC,LCY,London City Airport,,United Kingdom,51.505268,0.055278,
KLOZ,LOZ,London Corbin Airport,,United States,37.087223,-84.076942,
EGTR,QKE,London Elstree Aerodrome,,United Kingdom,51.655834,-0.325833,
EGKK,LGW,London Gatwick Airport,,United Kingdom,51.148048,-0.19027,
EGLL,LHR,London Heathrow Airport,,United Kingdom,51.471626,-0.467081,
CYXU,YXU,London International Airport,,Canada,43.033051,-81.1511,
EGGW,LTN,London Luton Airport,,United Kingdom,51.874722,-0.36833,
EGTK,OXF,London Oxford Airport,,United Kingdom,51.836941,-1.32,
EGMC,SEN,London Southend Airport,,United Kingdom,51.571381,0.695556,
EGSS,STN,London Stansted Airport,,United Kingdom,51.884998,0.235,
SBLO,LDB,Londrina Airport,,Brazil,-23.333599,-51.130001,
WBGA,LKH,Long Akah Airport,,Malaysia,3.311536,114.785988,
WBGL,LBP,Long Banga Airport,,Malaysia,3.202228,115.401955,
KLGB,LGB,Long Beach Airport,,United States,33.817719,-118.151001,
WBGF,LGL,Long Lellang Airport,,Malaysia,3.421,115.153999,
WBGI,ODN,Long Seridan Airport,,Malaysia,3.976111,115.063301,
NVSG,LOD,Longana Airport,,Vanuatu,-15.305296,167.968262,
